time_start,model,launch_place,regiune_standard,target_main,target,ora_lansarii,este_sezon_rece,este_noapte,distanta_front_km,scor_infrastructura,vreme_severa,atac
2025-12-31 23:59:00,Shahed-136/131,"Primorsko-Akhtarsk and Chauda, Crimea and Bryansk oblast",Zakarpattia oblast,Kyiv oblast and Dnipropetrovsk oblast and Poltava oblast,Ukraine,23,1,1,456.65,5.0,0,0
2025-10-05 05:22:00,Shahed-136/131,"Primorsko-Akhtarsk and Chauda, Crimea and Kursk oblast",Sumy oblast,Poltava oblast,Ukraine,5,0,1,213.66,8.5,0,1
2025-07-23 20:08:00,Iskander-M/KN-23,"Primorsko-Akhtarsk and Kursk oblast and Oryol oblast and Millerovo and Shatalovo and Kacha, Crimea",Zakarpattia oblast,Dnipropetrovsk oblast,Odesa oblast,20,1,0,326.83,6.0,1,0
2025-02-24 21:58:00,Iskander-M/KN-23,"Kursk oblast and Oryol oblast and Millerovo and Zaporizhzhia oblast, Prymorsk",Volyn oblast,Dnipropetrovsk oblast,Odesa oblast,21,1,1,512.02,3.8,0,0
2025-06-24 19:47:00,Shahed-136/131,"Primorsko-Akhtarsk and Kursk oblast and Bryansk oblast and Millerovo and Zaporizhzhia oblast, Prymorsk",Mykolaiv oblast,Dnipropetrovsk oblast and Zaporizhzhia oblast,Odesa oblast,19,1,0,82.47,7.9,0,1
2025-07-12 13:46:00,Shahed-136/131,"Kursk oblast and Oryol oblast and Millerovo and Zaporizhzhia oblast, Prymorsk",Zakarpattia oblast,Lviv oblast,Odesa oblast,13,0,0,362.08,8.2,0,1
2025-02-17 02:19:00,Iskander-M/KN-23,"Primorsko-Akhtarsk and Kursk oblast and Bryansk oblast and Millerovo and Hvardiiske, Crimea",Donetsk oblast,Kyiv oblast and Kharkiv oblast and Dnipropetrovsk oblast and Vinnytsia oblast and Odesa oblast,Ukraine,2,1,1,430.75,7.1,1,1
2025-09-01 16:10:00,Shahed-136/131,Kursk oblast and Oryol oblast and Millerovo,Odesa oblast,Dnipropetrovsk oblast,Odesa oblast,16,1,0,265.47,8.3,1,1
2025-05-29 15:05:00,Shahed-136/131,Kursk oblast and Millerovo,Chernivtsi oblast,Lviv oblast and Ternopil oblast and Kharkiv oblast,Ukraine,15,1,0,484.79,10.0,1,0
2025-02-16 16:25:00,Shahed-136/131,"Primorsko-Akhtarsk and Chauda, Crimea",Kherson oblast,Kyiv oblast,Odesa oblast,16,0,0,800.0,4.9,1,0
2025-05-29 03:34:00,Shahed-136/131,Kursk oblast and Oryol oblast and Millerovo,Chernihiv oblast,Kyiv oblast and Dnipropetrovsk oblast and Poltava oblast,Odesa oblast,3,1,1,160.09,6.6,0,1
2025-05-31 10:22:00,Shahed-136/131,"Kursk oblast and Oryol oblast and Hvardiiske, Crimea",Kherson oblast,Donetsk oblast,Odesa oblast,10,0,0,409.32,8.2,0,0
2025-03-01 01:08:00,Shahed-136/131,"Primorsko-Akhtarsk and Chauda, Crimea and Kursk oblast and Oryol oblast and Bryansk oblast and Millerovo",Ivano-Frankivsk oblast,Kremenchuk,Odesa oblast,1,0,1,54.46,8.4,0,0
2025-01-31 11:27:00,Shahed-136/131,Primorsko-Akhtarsk and Kursk oblast and Bryansk oblast and Oryol oblast and Millerovo and Shatalovo,Zhytomyr oblast,Kharkiv oblast and Poltava oblast,Odesa oblast,11,0,0,334.88,10.0,1,0
2025-08-19 15:55:00,Iskander-M/KN-23,"Primorsko-Akhtarsk and Chauda, Crimea and Kursk oblast",Kharkiv oblast,Kyiv oblast and Dnipropetrovsk oblast and Poltava oblast,Ukraine,15,1,0,5.0,7.0,0,0
2025-05-28 14:25:00,Iskander-M/KN-23,"Primorsko-Akhtarsk and Kursk oblast and Oryol oblast and Millerovo and Shatalovo and Hvardiiske, Crimea",Kyiv (Oblast),Dnipropetrovsk oblast and Zaporizhzhia oblast,Odesa oblast,14,0,0,36.76,8.5,0,1
2025-12-31 00:50:00,Iskander-M/KN-23,"Chauda, Crimea and Kursk oblast and Millerovo",Kharkiv oblast,Poltava oblast,Odesa oblast,0,0,1,165.11,5.8,0,1
2025-05-12 09:55:00,Shahed-136/131,Kursk oblast and Millerovo,Kharkiv oblast,front line,Ukraine,9,0,0,5.0,6.0,0,0
2025-03-22 14:19:00,Iskander-M/KN-23,Primorsko-Akhtarsk and Kursk oblast and Oryol oblast and Millerovo and Shatalovo,Sumy oblast,front line,Odesa oblast,14,1,0,404.89,2.3,0,0
2025-09-02 08:36:00,Shahed-136/131,Primorsko-Akhtarsk and Millerovo,Kyiv (Oraș),Dnipropetrovsk oblast,Odesa oblast,8,0,0,290.75,4.4,1,0
2025-12-31 23:59:00,Iskander-M/KN-23,"Chauda, Crimea and Kursk oblast and Millerovo",Volyn oblast,front line,Odesa oblast,23,1,1,5.0,1.0,1,0
2025-06-01 17:43:00,Iskander-M/KN-23,Kursk oblast and Oryol oblast and Millerovo,Kherson oblast,Kharkiv oblast and Poltava oblast,Ukraine,17,1,0,378.53,7.9,1,0
2025-03-05 09:07:00,Iskander-M/KN-23,Primorsko-Akhtarsk and Kursk oblast and Shatalovo,Rivne oblast,Donetsk oblast,Odesa oblast,9,1,0,5.0,10.0,0,0
2026-01-13 06:45:00,Iskander-M/KN-23,Primorsko-Akhtarsk and Bryansk oblast and Oryol oblast and Millerovo,Khmelnytskyi oblast,Kharkiv oblast and Poltava oblast,Odesa oblast,6,0,0,200.69,5.0,1,1
2025-08-08 02:36:00,Shahed-136/131,"Primorsko-Akhtarsk and Chauda, Crimea",Lviv oblast,Kyiv,Ukraine,2,1,1,5.0,7.1,0,0
2025-09-18 12:21:00,Iskander-M/KN-23,"Primorsko-Akhtarsk and Chauda, Crimea and Kursk oblast and Bryansk oblast and Millerovo and Hvardiiske, Crimea",Kherson oblast,Kyiv oblast and Dnipropetrovsk oblast and Poltava oblast,Ukraine,12,1,0,11.27,3.9,0,0
2025-07-23 20:37:00,Iskander-M/KN-23,Kursk oblast and Oryol oblast and Millerovo,Cherkasy oblast,Kyiv oblast and Kharkiv oblast and Dnipropetrovsk oblast and Vinnytsia oblast and Odesa oblast,Ukraine,20,1,0,436.37,9.2,0,0
2025-08-16 23:35:00,Shahed-136/131,"Primorsko-Akhtarsk and Chauda, Crimea and Bryansk oblast and Oryol oblast and Millerovo and Shatalovo",Kharkiv oblast,front line,Ukraine,23,0,1,287.11,4.7,1,0
2025-12-02 13:21:00,Iskander-M/KN-23,"Primorsko-Akhtarsk and Chauda, Crimea and Millerovo",Ternopil oblast,Kyiv oblast and Dnipropetrovsk oblast and Poltava oblast,Odesa oblast,13,0,0,292.88,8.7,0,1
2025-04-21 23:54:00,Iskander-M/KN-23,"Primorsko-Akhtarsk and Kursk oblast and Bryansk oblast and Millerovo and Zaporizhzhia oblast, Prymorsk",Chernivtsi oblast,Poltava oblast,Ukraine,23,0,1,5.0,6.6,1,1
2025-03-11 16:36:00,Iskander-M/KN-23,"Primorsko-Akhtarsk and Kursk oblast and Oryol oblast and Millerovo and Hvardiiske, Crimea",Vinnytsia oblast,Kyiv oblast,Ukraine,16,1,0,42.27,4.8,1,0
2025-02-14 02:55:00,Iskander-M/KN-23,"Primorsko-Akhtarsk and Chauda, Crimea and Hvardiiske, Crimea",Mykolaiv oblast,Lviv oblast,Ukraine,2,0,1,325.2,7.1,0,0
2025-03-16 19:03:00,Iskander-M/KN-23,"Primorsko-Akhtarsk and Bryansk oblast and Millerovo and Shatalovo and Hvardiiske, Crimea and Zaporizhzhia oblast, Prymorsk",Donetsk oblast,Kharkiv oblast and Poltava oblast,Ukraine,19,0,0,114.23,10.0,0,0
2025-02-19 00:17:00,Iskander-M/KN-23,"Primorsko-Akhtarsk and Chauda, Crimea and Oryol oblast and Millerovo and Shatalovo",Ivano-Frankivsk oblast,Poltava oblast,Odesa oblast,0,0,1,202.65,4.1,0,1
2025-07-17 21:47:00,Shahed-136/131,"Primorsko-Akhtarsk and Kursk oblast and Bryansk oblast and Millerovo and Hvardiiske, Crimea",Ternopil oblast,Kyiv oblast,Odesa oblast,21,0,1,5.0,5.4,1,0
2025-05-01 12:34:00,Shahed-136/131,Primorsko-Akhtarsk and Bryansk oblast and Oryol oblast and Millerovo,Donetsk oblast,Kyiv oblast and Dnipropetrovsk oblast and Poltava oblast,Odesa oblast,12,1,0,266.08,4.8,1,1
2025-02-10 11:53:00,Iskander-M/KN-23,Primorsko-Akhtarsk and Kursk oblast and Bryansk oblast and Oryol oblast and Millerovo,Zakarpattia oblast,Kyiv oblast and Kharkiv oblast and Dnipropetrovsk oblast and Vinnytsia oblast and Odesa oblast,Ukraine,11,0,0,158.91,3.4,1,0
2025-04-30 14:43:00,Iskander-M/KN-23,Primorsko-Akhtarsk and Oryol oblast and Millerovo,Mykolaiv oblast,Lutsk oblast,Ukraine,14,0,0,5.0,6.2,1,0
2025-05-11 18:13:00,Iskander-M/KN-23,Kursk oblast and Bryansk oblast and Oryol oblast,Kharkiv oblast,Kyiv,Odesa oblast,18,0,0,5.0,7.6,1,0
2025-01-27 15:03:00,Shahed-136/131,"Primorsko-Akhtarsk and Kursk oblast and Millerovo and Hvardiiske, Crimea",Kharkiv oblast,front line,Ukraine,15,1,0,139.93,4.0,0,0
2025-06-01 14:30:00,Shahed-136/131,"Primorsko-Akhtarsk and Chauda, Crimea and Kursk oblast and Oryol oblast and Millerovo",Kherson oblast,Poltava oblast,Odesa oblast,14,0,0,553.81,5.4,1,1
2025-12-31 23:59:00,Shahed-136/131,Kursk oblast and Oryol oblast and Millerovo,Kirovohrad oblast,Starokostiantyniv,Odesa oblast,23,1,1,471.08,7.1,0,0
2025-06-19 05:20:00,Shahed-136/131,Primorsko-Akhtarsk and Kursk oblast and Oryol oblast and Millerovo and Shatalovo,Sumy oblast,Poltava oblast,Odesa oblast,5,0,1,354.83,6.1,1,1
2025-02-21 12:25:00,Iskander-M/KN-23,"Primorsko-Akhtarsk and Chauda, Crimea and Kursk oblast and Oryol oblast and Millerovo",Kharkiv oblast,Kremenchuk,Odesa oblast,12,0,0,196.16,5.4,1,0
2025-05-19 13:18:00,Shahed-136/131,"Primorsko-Akhtarsk and Chauda, Crimea and Kursk oblast and Bryansk oblast and Oryol oblast and Millerovo and Shatalovo and Hvardiiske, Crimea and Donetsk oblast",Chernihiv oblast,Starokostiantyniv,Ukraine,13,1,0,296.52,2.7,0,0
2025-03-02 18:29:00,Iskander-M/KN-23,"Primorsko-Akhtarsk and Chauda, Crimea and Kursk oblast",Kyiv (Oraș),Starokostiantyniv,Ukraine,18,0,0,284.86,7.3,0,0
2025-07-20 05:55:00,Iskander-M/KN-23,"Primorsko-Akhtarsk and Kursk oblast and Bryansk oblast and Millerovo and Hvardiiske, Crimea",Kharkiv oblast,Kharkiv oblast and Poltava oblast,Odesa oblast,5,1,1,210.06,10.0,0,1
2025-05-15 07:07:00,Shahed-136/131,"Primorsko-Akhtarsk and Chauda, Crimea and Kursk oblast and Bryansk oblast and Millerovo",Volyn oblast,front line,Ukraine,7,0,0,197.26,8.3,0,0
2025-08-14 05:33:00,Iskander-M/KN-23,"Primorsko-Akhtarsk and Chauda, Crimea and Kursk oblast and Bryansk oblast and Millerovo",Chernihiv oblast,Kyiv oblast,Ukraine,5,0,1,770.46,9.6,0,0
2025-06-28 04:59:00,Shahed-136/131,"Primorsko-Akhtarsk and Chauda, Crimea and Kursk oblast and Bryansk oblast and Oryol oblast and Millerovo and Shatalovo and Kacha, Crimea",Chernihiv oblast,Lviv oblast,Ukraine,4,0,1,302.07,4.0,1,0
2025-03-16 09:20:00,Iskander-M/KN-23,"Primorsko-Akhtarsk and Chauda, Crimea and Kursk oblast and Bryansk oblast and Oryol oblast and Millerovo and Shatalovo",Lviv oblast,Kyiv oblast and Dnipropetrovsk oblast and Poltava oblast,Odesa oblast,9,1,0,5.0,5.5,0,1
2025-08-07 18:58:00,Shahed-136/131,Primorsko-Akhtarsk and Kursk oblast and Millerovo and Shatalovo,Poltava oblast,Starokostiantyniv,Ukraine,18,0,0,205.33,5.3,1,0
2025-06-25 08:59:00,Shahed-136/131,Kursk oblast and Bryansk oblast and Oryol oblast and Millerovo and Shatalovo and Donetsk oblast,Zaporizhzhia oblast,Poltava oblast,Ukraine,8,0,0,446.81,5.2,0,1
2025-03-15 06:58:00,Shahed-136/131,Primorsko-Akhtarsk and Kursk oblast and Oryol oblast and Millerovo and Shatalovo,Chernihiv oblast,Lviv oblast,Odesa oblast,6,1,0,146.24,9.2,0,1
2025-08-13 23:18:00,Iskander-M/KN-23,Primorsko-Akhtarsk and Oryol oblast and Millerovo,Ternopil oblast,Kremenchuk,Ukraine,23,0,1,5.0,7.7,1,0
2025-04-11 04:15:00,Iskander-M/KN-23,Kursk oblast and Bryansk oblast and Oryol oblast and Millerovo and Shatalovo and Donetsk oblast,Mykolaiv oblast,Kyiv,Odesa oblast,4,1,1,302.39,5.9,1,0
2025-04-10 03:22:00,Iskander-M/KN-23,Primorsko-Akhtarsk and Kursk oblast and Oryol oblast and Bryansk oblast and Shatalovo,Dnipropetrovsk oblast,Kyiv oblast and Kharkiv oblast and Dnipropetrovsk oblast and Vinnytsia oblast and Odesa oblast,Odesa oblast,3,0,1,333.53,6.2,1,1
2026-02-17 15:42:00,Iskander-M/KN-23,"Primorsko-Akhtarsk and Kursk oblast and Bryansk oblast and Oryol oblast and Millerovo and Hvardiiske, Crimea",Mykolaiv oblast,Starokostiantyniv,Ukraine,15,1,0,377.19,2.6,1,1
2025-03-12 15:04:00,Iskander-M/KN-23,Primorsko-Akhtarsk and Millerovo,Rivne oblast,Lutsk oblast,Odesa oblast,15,0,0,5.0,6.6,0,1
2025-06-17 13:40:00,Iskander-M/KN-23,"Primorsko-Akhtarsk and Chauda, Crimea and Hvardiiske, Crimea",Cherkasy oblast,Kyiv oblast and Dnipropetrovsk oblast and Poltava oblast,Ukraine,13,0,0,5.0,5.7,1,0
2025-05-18 18:17:00,Shahed-136/131,"Primorsko-Akhtarsk and Chauda, Crimea and Oryol oblast and Millerovo and Shatalovo",Kirovohrad oblast,Starokostiantyniv,Ukraine,18,0,0,154.27,6.2,1,0
2025-09-02 05:38:00,Iskander-M/KN-23,"Primorsko-Akhtarsk and Chauda, Crimea and Kursk oblast and Bryansk oblast and Millerovo",Sumy oblast,Poltava oblast,Ukraine,5,0,1,117.17,6.5,0,0
2025-01-31 20:12:00,Shahed-136/131,"Chauda, Crimea and Kursk oblast and Bryansk oblast and Oryol oblast and Millerovo and Shatalovo",Kirovohrad oblast,Starokostiantyniv,Ukraine,20,0,0,587.87,5.0,1,0
2026-01-02 12:31:00,Shahed-136/131,"Kursk oblast and Oryol oblast and Millerovo and Zaporizhzhia oblast, Prymorsk",Odesa oblast,Kyiv oblast and Dnipropetrovsk oblast and Poltava oblast,Ukraine,12,0,0,178.19,4.0,0,1
2025-12-31 13:41:00,Iskander-M/KN-23,"Primorsko-Akhtarsk and Chauda, Crimea and Oryol oblast and Millerovo and Shatalovo",Kharkiv oblast,Dnipropetrovsk oblast,Ukraine,13,1,0,139.38,5.4,1,1
2025-07-19 16:08:00,Iskander-M/KN-23,Kursk oblast and Bryansk oblast and Oryol oblast and Millerovo and Shatalovo and Donetsk oblast,Lviv oblast,Lviv oblast and Ternopil oblast and Kharkiv oblast,Odesa oblast,16,1,0,322.94,8.8,0,1
2025-10-09 10:17:00,Iskander-M/KN-23,"Primorsko-Akhtarsk and Chauda, Crimea and Kursk oblast and Bryansk oblast and Oryol oblast and Hvardiiske, Crimea",Zhytomyr oblast,Kharkiv oblast and Poltava oblast,Odesa oblast,10,0,0,5.0,7.2,0,0
2025-04-12 16:34:00,Shahed-136/131,"Primorsko-Akhtarsk and Chauda, Crimea and Kursk oblast and Bryansk oblast and Oryol oblast and Millerovo and Shatalovo and Kacha, Crimea",Zakarpattia oblast,front line,Ukraine,16,1,0,5.0,5.0,1,1
2025-03-17 00:23:00,Iskander-M/KN-23,Primorsko-Akhtarsk and Bryansk oblast and Oryol oblast and Millerovo,Kyiv (Oraș),front line,Ukraine,0,0,1,169.66,8.4,1,0
2025-10-20 20:53:00,Iskander-M/KN-23,Primorsko-Akhtarsk and Kursk oblast and Oryol oblast and Bryansk oblast and Shatalovo,Ivano-Frankivsk oblast,front line,Ukraine,20,0,0,5.0,5.1,1,0
2025-07-23 13:20:00,Iskander-M/KN-23,Primorsko-Akhtarsk and Kursk oblast and Bryansk oblast and Millerovo and Shatalovo,Cherkasy oblast,Poltava oblast,Ukraine,13,1,0,248.49,7.0,1,0
2025-05-24 18:31:00,Shahed-136/131,Kursk oblast and Bryansk oblast and Oryol oblast and Millerovo and Shatalovo and Donetsk oblast,Volyn oblast,Lviv oblast and Ternopil oblast and Kharkiv oblast,Ukraine,18,1,0,25.69,4.5,1,0
2025-06-10 22:13:00,Shahed-136/131,"Chauda, Crimea and Kursk oblast and Bryansk oblast and Oryol oblast",Cherkasy oblast,Lutsk oblast,Ukraine,22,0,1,5.24,4.8,0,1
2025-05-21 23:03:00,Iskander-M/KN-23,Primorsko-Akhtarsk and Kursk oblast,Donetsk oblast,Starokostiantyniv,Ukraine,23,0,1,90.63,6.5,0,1
2025-07-25 01:10:00,Iskander-M/KN-23,Primorsko-Akhtarsk and Kursk oblast and Bryansk oblast,Zhytomyr oblast,front line,Odesa oblast,1,1,1,230.69,5.1,0,1
2025-05-06 02:17:00,Shahed-136/131,"Primorsko-Akhtarsk and Chauda, Crimea and Kursk oblast and Bryansk oblast and Oryol oblast and Millerovo and Shatalovo and Kacha, Crimea",Lviv oblast,Donetsk oblast,Odesa oblast,2,0,1,68.57,4.0,0,0
2025-05-24 12:02:00,Iskander-M/KN-23,Kursk oblast and Millerovo,Cherkasy oblast,Lutsk oblast,Ukraine,12,0,0,5.0,5.2,0,1
2025-02-19 08:14:00,Shahed-136/131,"Primorsko-Akhtarsk and Kursk oblast and Bryansk oblast and Hvardiiske, Crimea",Odesa oblast,Donetsk oblast,Odesa oblast,8,0,0,87.89,6.4,0,0
2025-03-27 15:34:00,Shahed-136/131,Crimea and Bryansk oblast and Taganrog and Yeysk,Kyiv (Oblast),Kremenchuk,Odesa oblast,15,1,0,101.04,4.5,1,0
2025-05-01 11:00:00,Shahed-136/131,"Primorsko-Akhtarsk and Kursk oblast and Millerovo and Hvardiiske, Crimea",Mykolaiv oblast,Lviv oblast and Ternopil oblast and Kharkiv oblast,Ukraine,11,1,0,5.0,6.3,0,1
2025-02-09 19:28:00,Iskander-M/KN-23,"Primorsko-Akhtarsk and Chauda, Crimea and Millerovo",Zakarpattia oblast,Kyiv oblast and Dnipropetrovsk oblast and Poltava oblast,Ukraine,19,1,0,540.32,8.0,1,0
2025-02-05 10:30:00,Iskander-M/KN-23,"Primorsko-Akhtarsk and Chauda, Crimea and Kursk oblast and Bryansk oblast and Oryol oblast and Millerovo and Shatalovo",Kirovohrad oblast,Kremenchuk,Ukraine,10,0,0,5.0,4.2,1,0
2025-03-25 06:59:00,Iskander-M/KN-23,Kursk oblast and Bryansk oblast and Oryol oblast and Millerovo,Lviv oblast,Kyiv,Odesa oblast,6,1,0,348.71,6.3,0,0
2025-08-08 22:30:00,Shahed-136/131,Primorsko-Akhtarsk and Millerovo,Ternopil oblast,Poltava oblast,Odesa oblast,22,1,1,271.23,4.5,1,0
2025-02-17 21:09:00,Iskander-M/KN-23,"Chauda, Crimea and Kursk oblast and Bryansk oblast and Oryol oblast",Kyiv (Oblast),Kremenchuk,Odesa oblast,21,1,1,5.0,1.0,1,0
2025-07-23 14:30:00,Iskander-M/KN-23,Bryansk oblast and Oryol oblast and Shatalovo,Zaporizhzhia oblast,Kharkiv oblast and Poltava oblast,Ukraine,14,0,0,47.86,5.0,1,1
2025-02-18 16:32:00,Shahed-136/131,Kursk oblast and Millerovo,Zakarpattia oblast,Dnipropetrovsk oblast,Odesa oblast,16,0,0,120.87,6.3,1,0
2025-02-13 08:00:00,Shahed-136/131,"Primorsko-Akhtarsk and Chauda, Crimea and Hvardiiske, Crimea",Ternopil oblast,Kharkiv oblast and Poltava oblast,Odesa oblast,8,0,0,5.0,5.1,1,1
2025-06-07 02:28:00,Shahed-136/131,Primorsko-Akhtarsk and Kursk oblast and Bryansk oblast and Oryol oblast,Kyiv (Oblast),Kremenchuk,Ukraine,2,1,1,177.03,2.4,0,1
2025-07-21 15:26:00,Iskander-M/KN-23,Primorsko-Akhtarsk and Kursk oblast and Bryansk oblast and Oryol oblast,Ivano-Frankivsk oblast,Kyiv oblast,Odesa oblast,15,0,0,487.06,9.8,1,0
2025-08-09 15:58:00,Iskander-M/KN-23,"Primorsko-Akhtarsk and Kursk oblast and Bryansk oblast and Millerovo and Zaporizhzhia oblast, Prymorsk",Chernihiv oblast,Kyiv oblast and Kharkiv oblast and Dnipropetrovsk oblast and Vinnytsia oblast and Odesa oblast,Ukraine,15,1,0,381.63,7.3,1,1
2025-03-03 06:40:00,Iskander-M/KN-23,Kursk oblast and Bryansk oblast and Oryol oblast and Millerovo and Shatalovo,Rivne oblast,Kharkiv oblast and Poltava oblast,Ukraine,6,0,0,152.46,9.1,0,1
2025-12-05 05:47:00,Iskander-M/KN-23,"Kursk oblast and Oryol oblast and and Shatalovo and Hvardiiske, Crimea",Lviv oblast,Kyiv oblast,Odesa oblast,5,0,1,272.49,5.2,1,0
2025-07-12 09:19:00,Shahed-136/131,"Primorsko-Akhtarsk and Kursk oblast and Oryol oblast and Millerovo and Shatalovo and Hvardiiske, Crimea",Kyiv (Oraș),Kyiv oblast and Kharkiv oblast and Dnipropetrovsk oblast and Vinnytsia oblast and Odesa oblast,Ukraine,9,0,0,341.32,5.3,0,0
2025-03-13 09:54:00,Shahed-136/131,"Primorsko-Akhtarsk and Chauda, Crimea and Bryansk oblast and Oryol oblast",Rivne oblast,front line,Ukraine,9,0,0,5.0,6.3,0,0
2025-11-17 20:33:00,Iskander-M/KN-23,Primorsko-Akhtarsk and Kursk oblast and Oryol oblast,Kyiv (Oraș),Kharkiv oblast and Poltava oblast,Ukraine,20,1,0,5.0,2.2,0,1
2025-11-18 09:16:00,Iskander-M/KN-23,"Chauda, Crimea and Kursk oblast and Bryansk oblast and Oryol oblast and Millerovo and Shatalovo",Poltava oblast,Poltava oblast,Odesa oblast,9,1,0,134.7,7.3,0,0
2025-08-18 05:54:00,Iskander-M/KN-23,"Primorsko-Akhtarsk and Chauda, Crimea and Hvardiiske, Crimea",Kherson oblast,Dnipropetrovsk oblast,Odesa oblast,5,0,1,187.59,9.6,0,1
2025-02-09 17:16:00,Iskander-M/KN-23,Bryansk oblast and Millerovo and Shatalovo,Mykolaiv oblast,Kyiv oblast and Dnipropetrovsk oblast and Poltava oblast,Ukraine,17,1,0,139.06,9.6,1,1
2025-05-29 21:17:00,Shahed-136/131,"Chauda, Crimea and Kursk oblast and Millerovo",Chernivtsi oblast,Kyiv oblast,Ukraine,21,1,1,312.77,6.2,0,0
2025-06-21 10:11:00,Iskander-M/KN-23,"Primorsko-Akhtarsk and Chauda, Crimea and Hvardiiske, Crimea",Lviv oblast,Lutsk oblast,Odesa oblast,10,1,0,5.0,4.6,1,0
2025-08-29 06:33:00,Shahed-136/131,"Kursk oblast and Oryol oblast and Millerovo and Zaporizhzhia oblast, Prymorsk",Kherson oblast,Dnipropetrovsk oblast,Odesa oblast,6,1,0,5.0,5.7,0,0
2025-08-17 10:40:00,Iskander-M/KN-23,Primorsko-Akhtarsk and Kursk oblast,Lviv oblast,Dnipropetrovsk oblast and Zaporizhzhia oblast,Ukraine,10,0,0,62.07,3.2,0,1
2025-04-08 10:18:00,Shahed-136/131,"Primorsko-Akhtarsk and Chauda, Crimea and Kursk oblast and Bryansk oblast and Oryol oblast and Millerovo and Shatalovo and Hvardiiske, Crimea and Donetsk oblast",Zhytomyr oblast,Starokostiantyniv,Odesa oblast,10,1,0,288.35,10.0,0,0
2025-06-25 10:45:00,Iskander-M/KN-23,"Primorsko-Akhtarsk and Chauda, Crimea and Kursk oblast and Millerovo and Shatalovo",Zaporizhzhia oblast,Kyiv,Ukraine,10,0,0,93.38,1.7,1,1
2025-10-05 06:27:00,Shahed-136/131,Primorsko-Akhtarsk and Kursk oblast and Bryansk oblast and Millerovo,Chernihiv oblast,Kyiv,Ukraine,6,0,0,197.45,4.8,0,1
